Code	Description	Category
Notes	For use with the ANSI `\e[TS;FG;BGm` escape sequence	N/A
0	Reset all (default)	Text Style (TS)
1	Bold	Text Style (TS)
2	Dim	Text Style (TS)
3	Italic	Text Style (TS)
4	Underlined	Text Style (TS)
5	Blinking	Text Style (TS)
6	??? UNKNOWN	Text Style (TS)
7	Inverted colors	Text Style (TS)
8	Hidden (passwords)	Text Style (TS)
39	Default (reset)	Foreground Colors (FG)
30	Black	Foreground Colors (FG)
31	Red	Foreground Colors (FG)
32	Green	Foreground Colors (FG)
33	Yellow	Foreground Colors (FG)
34	Blue	Foreground Colors (FG)
35	Magenta	Foreground Colors (FG)
36	Cyan	Foreground Colors (FG)
37	Light Gray	Foreground Colors (FG)
90	Dark Gray	Foreground Colors (FG)
91	Light Red	Foreground Colors (FG)
92	Light Green	Foreground Colors (FG)
93	Light Yellow	Foreground Colors (FG)
94	Light Blue	Foreground Colors (FG)
95	Light Magenta	Foreground Colors (FG)
96	Light Cyan	Foreground Colors (FG)
97	White	Foreground Colors (FG)
49	Default (reset)	Background Colors (BG)
40	Black	Background Colors (BG)
41	Red	Background Colors (BG)
42	Green	Background Colors (BG)
43	Yellow	Background Colors (BG)
44	Blue	Background Colors (BG)
45	Magenta	Background Colors (BG)
46	Cyan	Background Colors (BG)
47	Light Gray	Background Colors (BG)
100	Dark Gray	Background Colors (BG)
101	Light Red	Background Colors (BG)
102	Light Green	Background Colors (BG)
103	Light Yellow	Background Colors (BG)
104	Light Blue	Background Colors (BG)
105	Light Magenta	Background Colors (BG)
106	Light Cyan	Background Colors (BG)
107	White	Background Colors (BG)
